Customer_ID,Total_Orders,Total_Revenue,Average_Revenue
10000,5,1778611.7322,355722.34644
10014,10,3193311.3108,319331.13108
10017,7,1206199.7086,172314.244085714
10033,7,1602880.5756,228982.939371429
10097,9,2176907.819,241878.646555556
10118,3,1186149.7598,395383.253266667
10123,7,1600290.8914,228612.984485714
10144,8,1927789.076,240973.6345
10147,13,3258450.5704,250650.043876923
10148,4,1001842.4047,250460.601175
10151,3,147501.4185,49167.1395
10156,7,2672913.9305,381844.847214286
10182,5,452782.1669,90556.43338
10211,7,2809083.5849,401297.654985714
10219,2,228608.938,114304.469
10220,4,1814807.8447,453701.961175
10227,6,2359714.2697,393285.711616667
10262,8,2938091.2054,367261.400675
10265,5,884227.7691,176845.55382
10277,4,1053223.8566,263305.96415
10317,8,1729950.2074,216243.775925
10325,3,1655855.168,551951.722666667
10345,6,1203235.3227,200539.22045
10368,5,858121.5206,171624.30412
10430,9,2789187.4488,309909.716533333
10459,9,2304230.5945,256025.621611111
10460,4,1387263.568,346815.892
10464,6,1738231.4407,289705.240116667
10470,5,985738.5328,197147.70656
10494,6,2409773.3404,401628.890066667
10500,9,2772627.0114,308069.667933333
10501,4,657052.5321,164263.133025
10520,6,1008938.5386,168156.4231
10549,8,880754.5165,110094.3145625
10554,4,547511.5426,136877.88565
10563,7,2558422.8661,365488.980871429
10573,3,625780.344,208593.448
10602,5,2375236.9065,475047.3813
10663,8,2150434.4992,268804.3124
10669,8,1866234.755,233279.344375
10679,8,2801063.812,350132.9765
10694,5,2159464.6535,431892.9307
10708,8,2526941.1318,315867.641475
10718,12,2736451.8162,228037.65135
10734,8,2317836.321,289729.540125
10746,7,1988763.5463,284109.078042857
10754,4,1250276.0604,312569.0151
10762,4,1475297.6734,368824.41835
10805,8,1745492.5772,218186.57215
10827,10,2631510.5166,263151.05166
10845,9,2041798.9639,226866.551544444
10864,6,1299014.0122,216502.335366667
10866,1,774393.88,774393.88
10885,7,2426376.9625,346625.280357143
10922,3,675696.658,225232.219333333
10935,4,1600989.6056,400247.4014
10993,4,780721.498,195180.3745
11033,9,2786308.2896,309589.809955556
11040,4,580609.2572,145152.3143
11049,4,843945.9939,210986.498475
11060,7,1467551.6059,209650.229414286
11067,10,2817623.8166,281762.38166
11075,6,1777277.2536,296212.8756
11113,9,1727972.4517,191996.939077778
11137,4,855022.3773,213755.594325
11165,9,2094976.9152,232775.2128
11192,5,1378797.6694,275759.53388
11221,9,2313821.7466,257091.305177778
11242,8,1895888.1373,236986.0171625
11266,6,728020.6828,121336.780466667
11270,7,2239123.9896,319874.855657143
11286,5,2089859.9229,417971.98458
11304,5,1898781.4972,379756.29944
11331,12,3046535.698,253877.974833333
11337,3,649391.6883,216463.8961
11360,2,792635.86,396317.93
11365,7,2269283.8636,324183.409085714
11369,7,2791897.1195,398842.445642857
11377,6,2331524.1158,388587.352633333
11400,6,1539923.7446,256653.957433333
11412,7,2063942.6579,294848.951128571
11426,7,1189071.9198,169867.417114286
11436,8,1751475.3762,218934.422025
11439,5,590520.2024,118104.04048
11444,2,81832.3707,40916.18535
11451,9,2861603.9736,317955.997066667
11474,8,2696648.1885,337081.0235625
11485,5,1666850.6799,333370.13598
11486,4,1630060.584,407515.146
11510,3,397810.8117,132603.6039
11534,6,1404176.811,234029.4685
11542,8,2037411.4599,254676.4324875
11549,4,1657376.81,414344.2025
11572,9,2871047.8686,319005.318733333
11585,6,1342238.8015,223706.466916667
11589,5,630926.8928,126185.37856
11591,5,1714388.859,342877.7718
11620,5,1304304.3877,260860.87754
11629,10,2975501.101,297550.1101
11637,5,1733064.7008,346612.94016
11643,6,1253662.225,208943.704166667
11651,10,3091327.2393,309132.72393
11689,7,1653092.2159,236156.030842857
11711,10,3363857.6777,336385.76777
11717,6,1493808.7936,248968.132266667
11719,8,984448.2508,123056.03135
11724,3,456126.0336,152042.0112
11735,8,3144100.6404,393012.58005
11743,3,988640.2016,329546.733866667
11749,9,2682425.7003,298047.300033333
11754,4,573339.3466,143334.83665
11765,5,952175.1497,190435.02994
11774,6,2452009.4697,408668.24495
11788,4,725166.1082,181291.52705
11825,3,1450582.9494,483527.6498
11850,9,2706942.1446,300771.3494
11856,7,2209478.3582,315639.765457143
11868,7,628759.5134,89822.7876285714
11895,8,2566374.0187,320796.7523375
11914,10,3102317.4356,310231.74356
11943,3,326801.6718,108933.8906
11981,8,1927196.0749,240899.5093625
11982,6,1588949.9378,264824.989633333
11983,6,1366911.9724,227818.662066667
11988,6,1973252.3756,328875.395933333
11994,6,1348111.2538,224685.208966667
12019,5,227998.0742,45599.61484
12027,7,1741286.1488,248755.164114286
12039,5,926006.2567,185201.25134
12058,7,1971113.9645,281587.709214286
12061,9,2586939.6761,287437.741788889
12066,6,2042305.0286,340384.171433333
12079,6,2371193.7195,395198.95325
12088,7,1855696.9011,265099.5573
12118,3,812716.1754,270905.3918
12131,4,1035844.6798,258961.16995
12149,4,885593.9922,221398.49805
12169,6,2415631.5557,402605.259283333
12191,9,1463868.1604,162652.017822222
12194,10,2098598.8306,209859.88306
12238,10,3379139.4532,337913.94532
12256,9,1777933.5759,197548.1751
12269,5,1592962.586,318592.5172
12275,10,3842122.4405,384212.24405
12292,5,1421332.6979,284266.53958
12344,7,2228025.0432,318289.291885714
12368,6,2437638.0852,406273.0142
12370,4,938370.5303,234592.632575
12381,6,1337395.1264,222899.187733333
12382,5,1479160.2543,295832.05086
12385,4,1155451.7037,288862.925925
12395,6,1378454.1399,229742.35665
12397,5,2046588.3146,409317.66292
12398,11,3431137.4498,311921.586345455
12416,3,731827.4182,243942.472733333
12433,13,3089532.5598,237656.350753846
12440,6,879194.5714,146532.428566667
12459,2,671782.5852,335891.2926
12475,8,1898892.4076,237361.55095
12490,9,3281601.902,364622.433555556
12499,5,1233168.6709,246633.73418
12503,12,2851067.5219,237588.960158333
12524,7,2376389.286,339484.183714286
12525,8,2277046.1501,284630.7687625
12535,3,973796.3144,324598.771466667
12570,10,2020040.3714,202004.03714
12588,7,1949623.2874,278517.612485714
12597,8,2372063.0273,296507.8784125
12605,5,1542814.062,308562.8124
12654,10,3151910.9481,315191.09481
12665,6,1126333.5464,187722.257733333
12684,11,4753712.5602,432155.687290909
12686,3,1237722.1446,412574.0482
12699,8,3259399.2164,407424.90205
12721,8,1544026.2291,193003.2786375
12742,5,1518976.9588,303795.39176
12750,6,850895.8808,141815.980133333
12759,4,919647.6292,229911.9073
12786,10,2435846.5591,243584.65591
12789,12,2392200.1474,199350.012283333
12809,5,2406332.1923,481266.43846
12814,4,1412970.8893,353242.722325
12843,6,2048653.2902,341442.215033333
12847,3,288400.9223,96133.6407666667
12852,15,4518035.6636,301202.377573333
12868,2,561342.5397,280671.26985
12944,6,2023056.6591,337176.10985
12960,8,2582931.2565,322866.4070625
12990,3,999262.0083,333087.3361
13004,7,2494436.6426,356348.0918
13046,8,1486474.968,185809.371
13053,7,1996073.9144,285153.416342857
13066,5,1840891.2353,368178.24706
13071,7,2518266.1241,359752.303442857
13074,3,554922.5977,184974.199233333
13096,7,2703566.5167,386223.7881
13115,5,1580987.6959,316197.53918
13129,12,2926681.0492,243890.087433333
13172,8,3518792.2335,439849.0291875
13184,7,3031114.8548,433016.407828571
13187,8,3139613.0794,392451.634925
13207,5,1227219.1504,245443.83008
13213,7,1547297.9582,221042.565457143
13282,6,2369360.6208,394893.4368
13336,7,1464703.0352,209243.290742857
13350,4,1242534.8408,310633.7102
13391,8,1705785.7162,213223.214525
13406,3,398076.9288,132692.3096
13435,8,1317744.0556,164718.00695
13442,13,2976203.4293,228938.725330769
13458,7,2590527.5875,370075.369642857
13461,7,1913309.5084,273329.929771429
13463,6,1468030.7572,244671.792866667
13467,5,1244083.7214,248816.74428
13474,4,733129.4717,183282.367925
13483,5,1252164.5669,250432.91338
13509,12,3616740.1698,301395.01415
13557,12,3247840.8095,270653.400791667
13564,8,2565805.4293,320725.6786625
13578,9,3063952.7863,340439.198477778
13585,8,2386236.712,298279.589
13606,7,2347000.9503,335285.850042857
13641,11,3473515.9868,315774.180618182
13646,6,1895796.4396,315966.073266667
13654,7,1962927.5812,280418.225885714
13684,9,3398873.038,377652.559777778
13690,8,2264184.078,283023.00975
13709,7,2385271.8718,340753.124542857
13728,5,1987752.8973,397550.57946
13767,6,913842.9032,152307.150533333
13772,10,2429708.6322,242970.86322
13777,6,827562.6182,137927.103033333
13780,5,651737.2483,130347.44966
13800,8,1442679.9567,180334.9945875
13854,4,1381944.5639,345486.140975
13858,6,1649525.2321,274920.872016667
13860,9,2961476.3859,329052.931766667
13882,3,575937.1587,191979.0529
13894,8,1864071.0433,233008.8804125
13896,5,1186612.6839,237322.53678
13901,9,3423793.066,380421.451777778
13924,9,2792991.3047,310332.367188889
13926,3,628958.3796,209652.7932
13930,7,1685074.672,240724.953142857
13953,8,2978951.3055,372368.9131875
13970,9,2878673.622,319852.624666667
13972,10,2507008.5399,250700.85399
13977,2,625742.2483,312871.12415
14002,6,2058269.5483,343044.924716667
14022,5,1231919.1146,246383.82292
14065,9,1935184.3722,215020.4858
14097,4,527132.4254,131783.10635
14162,4,1129065.4492,282266.3623
14190,9,4270700.5112,474522.279022222
14198,5,1477456.3412,295491.26824
14199,2,1699872.5232,849936.2616
14209,10,2198929.4581,219892.94581
14212,6,1722587.2474,287097.874566667
14245,4,1012719.2156,253179.8039
14257,4,2649203.9257,662300.981425
14259,7,1986134.6361,283733.519442857
14265,4,790945.6474,197736.41185
14267,5,1299189.6649,259837.93298
14297,8,1947036.9726,243379.621575
14368,7,1702044.2286,243149.175514286
14378,8,1698049.64,212256.205
14399,10,1850337.1587,185033.71587
14418,7,720127.1602,102875.3086
14451,9,2543420.4819,282602.275766667
14486,10,2680079.495,268007.9495
14508,6,2537438.9745,422906.49575
14572,4,1381456.1183,345364.029575
14591,4,1598852.593,399713.14825
14616,8,2195945.1659,274493.1457375
14657,9,3073199.6635,341466.629277778
14674,5,1847245.1407,369449.02814
14676,7,1846166.7732,263738.110457143
14702,6,1665183.5012,277530.583533333
14710,7,2108346.0388,301192.291257143
14728,7,2712835.5863,387547.9409
14753,7,1396887.4551,199555.350728571
14770,8,2446556.4639,305819.5579875
14779,7,1785098.2462,255014.035171429
14788,7,2172386.7028,310340.957542857
14847,6,666577.5032,111096.250533333
14884,2,619822.8344,309911.4172
14893,2,715779.9172,357889.9586
14897,9,1478726.5829,164302.953655556
14950,8,2689900.8164,336237.60205
14954,7,1970476.0636,281496.580514286
14969,4,493420.4501,123355.112525
14991,8,2050065.8979,256258.2372375
15010,9,2186458.0459,242939.782877778
15015,6,3647166.1824,607861.0304
15063,8,1724393.9004,215549.23755
15069,5,1508198.1712,301639.63424
15087,7,2306301.858,329471.694
15101,10,2822018.9974,282201.89974
15125,5,1190185.7592,238037.15184
15133,9,2733369.7361,303707.748455556
15161,8,1534317.2369,191789.6546125
15176,6,2619579.8023,436596.633716667
15177,7,2488828.1609,355546.880128572
15191,7,2244979.5184,320711.359771429
15193,6,1077080.6875,179513.447916667
15199,8,3470861.5606,433857.695075
15203,10,2120987.3888,212098.73888
15222,8,2688741.5591,336092.6948875
15238,6,671201.4512,111866.908533333
15243,4,467188.7557,116797.188925
15269,5,1555001.5735,311000.3147
15274,11,2697006.0511,245182.368281818
15276,6,1687228.7716,281204.795266667
15286,3,761276.3967,253758.7989
15293,4,1089862.8492,272465.7123
15307,6,2373074.3594,395512.393233333
15319,9,2711854.9441,301317.216011111
15355,12,5281428.3387,440119.028225
15368,6,1286609.1046,214434.850766667
15373,3,406979.2377,135659.7459
15381,6,1878312.6399,313052.10665
15382,4,1528783.8488,382195.9622
15383,7,2407745.5853,343963.655042857
15409,6,2906692.8889,484448.814816667
15418,8,2092017.609,261502.201125
15455,5,1257777.6658,251555.53316
15487,7,1843206.661,263315.237285714
15506,4,975479.8747,243869.968675
15515,3,137314.8268,45771.6089333333
15537,10,3185417.2898,318541.72898
15570,6,1545636.4756,257606.079266667
15581,3,370689.5544,123563.1848
15582,7,2590139.1336,370019.876228572
15591,7,1986512.3348,283787.4764
15606,6,2605419.1311,434236.52185
15634,8,2533522.8318,316690.353975
15635,7,1692389.2228,241769.888971429
15646,9,1986302.9645,220700.329388889
15649,3,1554647.573,518215.857666667
15665,3,472764.605,157588.201666667
15695,8,1751876.6322,218984.579025
15713,5,1655766.2232,331153.24464
15729,5,1565427.1836,313085.43672
15744,11,2866636.2263,260603.2933
15756,9,2177372.2426,241930.249177778
15770,5,1511866.0234,302373.20468
15775,13,3625065.7513,278851.211638462
15782,3,619590.2712,206530.0904
15797,6,2525351.1248,420891.854133333
15812,6,1566029.565,261004.9275
15831,6,2140428.2786,356738.046433333
15843,5,1425284.6916,285056.93832
15860,7,1527030.1208,218147.160114286
15864,10,3594209.0026,359420.90026
15869,8,2153611.927,269201.490875
15931,10,2976146.9787,297614.69787
15943,8,3834881.6553,479360.2069125
15954,5,1755383.3962,351076.67924
15956,5,1669102.545,333820.509
15961,3,387304.2858,129101.4286
15962,8,1447224.11,180903.01375
15977,5,1302220.0164,260444.00328
15994,7,1744824.3696,249260.624228571
16004,2,819283.4557,409641.72785
16013,6,2631038.0061,438506.33435
16028,5,1899915.4014,379983.08028
16046,6,1933581.6706,322263.611766667
16080,11,4223913.3898,383992.126345455
16101,4,1063551.7143,265887.928575
16105,4,809418.5381,202354.634525
16121,4,1878582.4845,469645.621125
16140,9,2761647.8145,306849.757166667
16147,6,1361940.1154,226990.019233333
16159,5,1845106.9478,369021.38956
16171,8,1929106.7932,241138.34915
16172,7,2028109.7346,289729.962085714
16196,8,1382812.083,172851.510375
16234,8,2490894.2214,311361.777675
16262,12,2680142.1339,223345.177825
16293,5,1146679.917,229335.9834
16299,6,1225207.4972,204201.249533333
16314,9,1072180.6195,119131.179944444
16359,10,1816051.2198,181605.12198
16375,11,2826661.8771,256969.261554546
16389,6,1335201.762,222533.627
16393,7,1934180.3599,276311.479985714
16405,10,3419685.4424,341968.54424
16439,10,2979529.0237,297952.90237
16493,8,1386043.1244,173255.39055
16497,10,2645230.1787,264523.01787
16501,11,3700898.0679,336445.2789
16516,6,2477908.9701,412984.82835
16558,1,311030.4547,311030.4547
16562,5,1931778.9805,386355.7961
16602,9,2808553.8722,312061.541355556
16623,7,1552554.7124,221793.530342857
16627,12,4994220.532,416185.044333333
16629,8,2033682.152,254210.269
16630,7,2592252.8339,370321.833414286
16631,7,1636652.3476,233807.478228571
16638,8,2486475.824,310809.478
16655,10,3647176.0874,364717.60874
16664,7,862190.1977,123170.028242857
16679,7,2327587.0682,332512.438314286
16699,5,839020.0462,167804.00924
16716,5,1563190.0355,312638.0071
16719,4,1651526.2252,412881.5563
16739,3,1145917.829,381972.609666667
16741,12,3054294.8044,254524.567033333
16760,7,1809767.9592,258538.279885714
16780,7,1291951.833,184564.547571429
16783,13,2504723.5653,192671.043484615
16785,8,1681058.9846,210132.373075
16800,7,1071128.1593,153018.308471429
16808,6,936087.4627,156014.577116667
16823,4,1155451.7384,288862.9346
16832,8,1579603.6482,197450.456025
16844,9,2105819.9967,233979.999633333
16881,6,2372322.9336,395387.1556
16912,7,2600505.9653,371500.852185714
16917,5,654842.3419,130968.46838
16924,6,2905199.7373,484199.956216667
16934,7,1561802.0351,223114.576442857
16935,4,562439.9034,140609.97585
16955,7,1085024.8939,155003.556271429
16961,7,1646557.8505,235222.550071429
17036,5,1259662.6503,251932.53006
17040,5,1750601.7752,350120.35504
17056,6,1287629.4704,214604.911733333
17066,2,607321.0403,303660.52015
17082,7,1162288.4826,166041.2118
17098,9,3172710.5748,352523.3972
17144,7,2465922.0955,352274.585071429
17153,9,3469328.3382,385480.926466667
17181,5,1576795.6885,315359.1377
17195,8,2959194.1389,369899.2673625
17204,8,2230808.4155,278851.0519375
17239,8,2457749.1582,307218.644775
17244,6,1480803.9568,246800.659466667
17267,7,1595838.9372,227976.991028571
17268,6,1412745.2657,235457.544283333
17273,3,1056334.4682,352111.4894
17290,4,1818075.8271,454518.956775
17327,3,1070321.2077,356773.7359
17331,6,1425755.6819,237625.946983333
17342,4,990544.171,247636.04275
17352,10,2342768.2178,234276.82178
17364,6,2308274.2708,384712.378466667
17375,7,615263.5278,87894.7896857143
17385,7,2312626.5493,330375.221328571
17393,9,2318867.6186,257651.957622222
17410,8,2595535.2797,324441.9099625
17437,6,2175056.8437,362509.47395
17439,9,1954168.7169,217129.857433333
17459,8,3285168.4783,410646.0597875
17464,6,1988493.2007,331415.53345
17474,4,622583.2333,155645.808325
17492,10,3165643.7884,316564.37884
17521,10,3988941.7018,398894.17018
17542,5,1546797.3147,309359.46294
17551,9,1521051.8443,169005.760477778
17567,11,3618753.9623,328977.632936364
17569,5,1127286.4362,225457.28724
17634,6,1547916.0937,257986.015616667
17716,5,1444126.6384,288825.32768
17745,8,2619236.0663,327404.5082875
17755,9,2278765.4862,253196.165133333
17761,2,312642.5793,156321.28965
17793,7,2236238.7062,319462.672314286
17824,10,2290529.1886,229052.91886
17827,9,3894972.9929,432774.776988889
17862,4,1461240.8416,365310.2104
17875,9,2176276.306,241808.478444444
17881,6,2613579.1604,435596.526733333
17897,7,1453209.1321,207601.304585714
17903,6,1776808.1447,296134.690783333
17932,8,1928178.1906,241022.273825
17933,6,2786860.3597,464476.726616667
17969,5,776689.2358,155337.84716
17982,7,2551897.6908,364556.812971429
17993,8,2759396.5491,344924.5686375
18006,8,3616532.312,452066.539
18023,8,2267972.2916,283496.53645
18044,5,1491493.5113,298298.70226
18057,6,1645400.2128,274233.3688
18077,9,2303905.8033,255989.5337
18081,5,1355986.895,271197.379
18120,7,1340311.4734,191473.067628571
18121,5,634485.523,126897.1046
18145,3,841658.693,280552.897666667
18163,3,938354.4036,312784.8012
18171,5,1689515.4682,337903.09364
18173,7,1956507.5643,279501.080614286
18189,7,2017932.1346,288276.019228571
18198,10,2735110.9569,273511.09569
18242,7,2424125.9326,346303.704657143
18248,3,523389.6786,174463.2262
18270,7,2999719.8216,428531.403085714
18284,4,728550.2774,182137.56935
18293,3,1637566.7876,545855.595866667
18300,7,1720839.9868,245834.283828571
18313,9,2127532.4293,236392.492144444
18323,7,2009431.0728,287061.581828571
18348,7,1314952.8015,187850.400214286
18358,8,2331571.0832,291446.3854
18365,11,3624126.6572,329466.059745455
18412,10,1685478.6256,168547.86256
18439,9,1789197.8472,198799.7608
18447,3,1383254.2661,461084.755366667
18471,8,3612000.3278,451500.040975
18479,5,1463413.1506,292682.63012
18491,4,1539108.7616,384777.1904
18519,4,668967.2657,167241.816425
18521,9,2378967.1681,264329.685344445
18531,8,3268755.443,408594.430375
18539,5,1770406.2452,354081.24904
18549,9,921432.8718,102381.4302
18551,3,872101.1466,290700.3822
18568,7,2800473.083,400067.583285714
18573,7,1535495.0209,219356.431557143
18604,3,1033524.8784,344508.2928
18608,6,1964306.7446,327384.457433333
18614,12,3482863.9558,290238.662983333
18620,7,2666850.5633,380978.6519
18636,7,2022241.9701,288891.710014286
18644,8,2491091.8032,311386.4754
18685,6,1490208.372,248368.062
18722,8,2848466.7833,356058.3479125
18740,7,2570287.9836,367183.997657143
18774,9,3883377.4948,431486.388311111
18815,6,1513053.567,252175.5945
18834,4,888269.8653,222067.466325
18879,6,557345.3427,92890.89045
18906,9,3560055.926,395561.769555556
18913,5,1421568.9854,284313.79708
18925,7,2855062.2855,407866.040785714
18930,5,2047011.3311,409402.26622
18945,4,1035760.0734,258940.01835
18961,6,1550340.6409,258390.106816667
18962,3,1583112.9132,527704.3044
18975,10,1423917.3308,142391.73308
18978,5,1433906.159,286781.2318
18981,7,2011670.3183,287381.474042857
18991,7,1835027.9298,262146.847114286
19020,2,1169016.6568,584508.3284
19023,8,2147786.6406,268473.330075
19031,5,1409884.1312,281976.82624
19051,5,658267.1049,131653.42098
19076,7,2217633.3742,316804.767742857
19089,5,1946984.7482,389396.94964
19103,7,1325284.3764,189326.339485714
19173,12,3613270.269,301105.85575
19185,8,2763508.0072,345438.5009
19196,9,2532772.1619,281419.1291
19202,5,1336811.4812,267362.29624
19205,2,46863.9552,23431.9776
19218,4,826344.7563,206586.189075
19223,4,585390.4099,146347.602475
19230,5,1555445.1488,311089.02976
19248,8,1278406.7767,159800.8470875
19267,6,2169214.1768,361535.696133333
19306,8,2196844.7158,274605.589475
19331,7,2897891.1332,413984.4476
19351,6,1472046.6742,245341.112366667
19360,7,2964958.4477,423565.492528571
19361,5,1917340.6247,383468.12494
19381,7,1878088.924,268298.417714286
19410,9,4129261.7482,458806.860911111
19414,3,521963.6362,173987.878733333
19424,6,1906104.9174,317684.1529
19430,6,2668025.164,444670.860666667
19435,5,1190655.3964,238131.07928
19436,7,1481410.8875,211630.126785714
19443,4,1118159.1351,279539.783775
19459,7,1742324.1103,248903.444328571
19477,6,1060998.5145,176833.08575
19480,7,2442275.9281,348896.561157143
19575,6,1283323.7784,213887.2964
19599,7,1656655.2701,236665.038585714
19607,3,627407.1871,209135.729033333
19611,4,1393286.9729,348321.743225
19632,3,1467895.423,489298.474333333
19638,4,1655940.7376,413985.1844
19648,9,2417860.2154,268651.135044445
19653,7,1094462.127,156351.732428571
19664,6,1707145.6904,284524.281733333
19723,6,1772168.3322,295361.3887
19746,5,401508.6507,80301.73014
19748,3,1075355.6335,358451.877833333
19776,7,2850472.3018,407210.328828571
19807,2,363623.772,181811.886
19823,12,4068391.536,339032.628
19828,5,1684571.9808,336914.39616
19883,7,2260422.8528,322917.5504
19906,9,2741300.6551,304588.961677778
19910,8,1613575.3215,201696.9151875
19912,9,1852181.7031,205797.967011111
19944,9,1362069.569,151341.063222222
19957,7,1700951.1121,242993.016014286
19971,4,1019840.31,254960.0775
20026,3,746206.9092,248735.6364
20033,4,1329625.8344,332406.4586
20077,6,1273888.477,212314.746166667
20106,5,1436712.0942,287342.41884
20129,9,2833486.3121,314831.812455556
20150,9,2064293.3445,229365.927166667
20169,11,2217612.697,201601.154272727
20174,6,2231956.8473,371992.807883333
20250,4,1340091.1576,335022.7894
20261,6,1829120.2522,304853.375366667
20271,6,1452445.5325,242074.255416667
20274,6,1564457.2931,260742.882183333
